Taxon,3PINES,AINO,ANDERSON,ANGE,ARTHURB,ARTHURE,ATO,AXELAKE,BALSAM,BARCHAMP,BARRY,BASEBALL,BASINPND,BASSWOOD,BASTIEN,BEAVERWI,BIGJOHN,BIGPOND,BINNEWTR,BLACKGUM,BLACKPND,BLUMOUND,BOGD,BRADSHAW,BRI2,BUCKLAKE,BYRONMRL,CAPITOLA,CEDARBLK,CHANCEHA,CHES2208,CHESPTMC,CHISM1,CLEARLIA,CLEARWTR,COGHILL,COMPASS,CONROY,COT,COTTONWD,CRANBER,CRAWFBOG,CRAWFDC,CROOKEDN,CROOKEDR,CROOKEDU,CUPOLA,DEADFROG,DEEPPOND,DEER,DIA375,DIAB,DIVERS,DUARTE,DUGASBAY,EAGLE,EAGLEPND,EBALTIC,ELAKE68,ELYLAKE,EMRICK,ERIE,ESPOIR,FAKIII98,FAR,FAWN,FIRST,FLINFLON,FORGE,FRENCHBY,FRESH,FRESHPND,FUDGER,FURNIVAL,GEAI,GILES,GOULD,GRAS,GREENNJ,GREENPND,GRENADIE,GREYIS,GUMLIMDH,GUMLIMFT,GUMLIMM,GUMLIMWH,HAMSLAKE,HANSON,HARLOCK,HARR,HARRIE,HAWKE,HELLSKIT,HEMLOCK,HIGHLAKE,HOSTAGE,HOUGHTON,HUMBER3,HUMBER5,HUMBER7,ICEHSMA,IRVIN,JACKSON,JBL004,JEMIMA,JOES3,JOS,KAN,KELLHOL1,KELLHOL2,KELLNERS,KENNYS,KILBRIDE,KIMBLE,KINSMAN,KROENING,LACAWAC,LAKEA,LAKEB,LAKEBI2,LAKEBN7,LAKEGB1,LAKELT1,LANSTJE,LEADINGT,LEVI,LILYLAKE,LILYWAR,LIMABOG,LINSLEY,LITTLEBO,LITTLEM,LONGSWMP,LORRAINE,LOSTMOOS,LOUISEMB,LOVESIC1,LOVESIC3,LOXAHAT1,LXSITE10,LXSITE4,LXSITE5,MANSELL,MARKPOND,MASHPAUG,MAYFLWON,MCCAR,MCDONALD,MERMAID,MILLER51,MKPEACEB,MKPEACED,MOONLAKE,MORRISON,MS9011,MUDCRK1,MUDLAKE,MUDLKMI,MUDLKMN2,NELSONMI,NOBOTTOM,NORTHPND,NORTHRND,NUTHSFT,NUTHSH,OLIVER,ONDRISPD,OPINES,OTTER,PANTHER,PARROTT,PASACACO,PATRICIA,PAW2,PAWELSKI,PAYNTER,PECKER,PEGGY,PENEGOR,PERCH,PERCHDUC,PETERSL,PICKEREL,PIERMONT,PINELAKE,PINEWI,PINHOOK,PINKLAKE,PITCHER,PLEASANT,POGONIA,POLAND,PORQUI2,PRESTON,PRIEND,PROTECTN,PWFTSWAL,QUAG,RAFT,RAMSAYLK,REIDEL,RICEMNB,RICEMSH2,RICEON,RIFESWMP,ROADCUT,ROBPOND,ROM,ROSE1,ROSSPOND,ROUND,ROUNDON,RUBYLAKE,SANDY,SCOTTLK,SILCOX52,SILVERNS,SILVERPA,SNAKE,SOUTHBOG,SPIRIT,SPIRITWD,STEELMN,SUGRLOAF,SZABOPND,TAUPAW,TAYCRK2A,TAYCRK2B,TAYLSL15,TAYLSL7,TERHELL,TERRIEN,THIB127B,TITICUT1,TONAWA,TROUTLBG,TWISMARL,UPMALLOT,VALHALLA,VANNOSTR,WCA2AF1,WCA2AU3,WCA3A15,WEBBS,WENTZEL,WHITGLCH,WICKETT,WINTERGR,WOLSFELD,WOODLAKE,WYLDELK,YELLE
Xanthium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001194648,0,0,0,0.005021521,0,0.002941176,0,0,0.009345794,0,0,0.001361367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002272797,0,0,0,0,0,0.002487729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014282618,0.001359707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000559284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000735745,0,0,0
Alnus,0.013380478,0.0075057,0.391636666,0.088777219,0,0.003794014,0.021108179,0.052203569,0.01714623,0.002617801,0.030771112,0.005819607,0.036931818,0.076363636,0.028459274,0.040443461,0.014112318,0.002857143,0.057546414,0.001022196,0.004579149,0,0.045606279,0.04557532,0.424170616,0,0.003232239,0.027793078,0.02438169,0.026551213,0.005993604,0.001533238,0.232712189,0.004621759,0.024361761,0.144522689,0.227410927,0.098206476,0.035870975,0.003193389,0.015025126,0.002404224,0.006920884,0.009929371,0.055555556,0.034398034,0.002052942,0.002607425,0.006319115,0.008310249,0.079625293,0.087360595,0.006384552,0.01149357,0.090781968,0.00280112,0.011965812,0.057912428,0.116928382,0.031721171,0.008459374,0.008478517,0.035156676,0.001431245,0.156308506,0.026102983,0.041003413,0.232987519,0.046300366,0.017352926,0.012507959,0.01251581,0.003403764,0.05942029,0.014373717,0.018189672,0.084745527,0.078086094,0.043066125,0.009116993,0.01012816,0.423162954,0,0,0,0,0.004222563,5.30E-05,0.005102378,0.027548209,0.107136151,0.031022451,0.031449203,0.041532258,0.013752456,0.026790529,0.007404445,0.01014009,0.000473347,0.009756236,0.003659834,0.100534852,0.001971797,0.011872404,0.027564889,0.128169643,0.02044293,0.297951583,0.047586981,0,0.051265127,0.04838611,0.011996487,0.002392471,0.002785515,0.020215876,0.007950607,0.102857953,0.167005673,0.116809282,0.115995351,0.089235127,0.173640612,0.019287834,0.382734483,0.006648925,0.006192874,0.003884062,0.001375894,0.02261198,0.022173939,0.013622691,0.00259222,0.023808316,0.1320258,0.02041341,0.018398395,0.004669378,0.003555268,0.121137307,0.085820062,0.01891947,0.042255703,0.10697931,0.047412469,0.024495851,0.004628597,0.024168734,0.029002292,0.001730104,0.000620774,0.009768931,0.019725953,0.044247419,0.055683896,0.002267574,0,0.018381817,0.028324486,0.025932953,0.004083299,0.011051972,0.005369868,0,0,0.086793449,0.032233323,0.044097937,0.011398614,0,0.016806645,0.12962403,0.203131559,0.026514051,0.051481127,0.190661479,0.015394896,0.042796487,0.000825511,0.04411644,0.161497181,0.030269436,0,0.017107226,0.028711865,0.030547604,0.000208601,0.070448348,0.010305843,0.010533383,0.000938478,0.026533572,0.056139028,0.044102191,0,0.0069138,0.0015608,0.014255511,0.06875,0.067519809,0.023088015,0.002950955,0.013341491,0.016247518,0.003175977,0.428949227,0.402530106,0.060679612,0.010337839,0.030940339,0.008969739,0.165072717,0.042004534,0.007113521,0.00080609,0.031539703,0.1875,0.029585799,0.011278336,0.183062991,0.015034661,0.028172418,0.039440884,0.051401522,0.009587776,0.008382214,0.017241379,0.008074163,0,0,0.027085419,0.018587361,0.060380189,0.007042254,0.038951625,0.014366217,0.008022344,0.004080338,0.004183136,0.047638383,0,0.000204248,0,0.017044938,0.027272967,0.202689757,0.016378014,0.004273504,0.00759144,0.032702874,0.014371221,0.139534884
Corylus,0,0,0.000918794,0.011725293,9.27E-05,0.001679587,0,0,0.012859673,0,0,0,0.002840909,0.007272727,0.000981354,0,0.011499564,0,0,0.002044393,0.001458632,0.013745704,0.010790328,0,0,0,0.007584338,5.30E-05,0.002212975,0,0.003246352,0,8.42E-06,0.003641811,0,0,0,0.001283148,0.003405385,0,0,0.000383751,0.005201238,0.00029347,0,0,0,0.001968506,0,0.005540166,0,0.001858736,0,0.000935908,0,0.005602241,0,0.00123839,0.017330227,0.001119403,0.008602526,0.000352836,0,0,0.001837682,0.002915279,0.001032702,0.000135682,0.006105006,0.0006545,0.002457808,0.003951528,0.000449354,0.002608696,0,0.001272265,0.028817092,0.002589416,0.000928505,0.001215214,0,0.020978265,0,0,0,0,0,2.65E-05,0,0,0,0,0.005014656,0,0.000982318,0.00612751,0.003712692,0.012368787,0.000157782,0,0.007153576,0.006148317,0,0,0.000301484,0,0.003407155,0,0,0.022303384,0.009295632,0,0,0.00122968,0.027855153,0.00213718,0.001319261,0.002531853,0,0,0,0,0,0,0,0.001741897,0,0,0.002275025,0.000651678,0.001142712,0,0,0,0,0.001748252,0,0,0,0.00075847,0,0,0.001470909,0,0.006392045,0.002682284,0,0.001949663,0,0,0.000775967,0.019274888,0.004424057,0.008033633,0.002129601,0,0,0.001182432,0.011434648,0.000627528,0.007805384,0.018073973,0.000679117,0,0,0.001441735,0.005565607,0.005751905,0.004160869,0,0,0,0,0.006829758,0,0.003891051,0,0,0,0.007298898,0.01755524,0.001964637,0,0,0,0.005566534,0,0.004746835,0.003355182,0,0.003228778,0.02485922,0,0,0.00244898,0.002734692,0.003264867,0,0.0046875,0.000685652,0.015889969,0.000999839,0.00025624,0,0,0,0,0,0,0.004800401,0.00375812,0,0.004402143,0.000202156,0,0,0,0,0.000557072,0.025847439,0,0.002038043,0.018466359,0,0,0.002329198,0,0,0,0,0.013244595,0.003717472,0,0.037558685,0.010373868,0.001494691,0.00090128,0,0,0.000849673,0,0.047562636,0,0.002654838,0.003348508,0.003734318,0.000352858,0,0.002799621,0.002162412,0,0.003322259
Ostrya.Carpinus,0.00068323,0.0075057,0.001158129,0.001675042,0.007135599,0.005473601,0.002638522,0.016937439,0.008441527,0.002617801,0.019543815,0,0.022727273,0.010909091,0.018645731,0.008186862,0.00694443,0.002857143,0.007708891,0.002134563,0.005428025,0.006872852,0.006865752,0,0,0.003115265,0.008288464,0.008650728,0.01374262,0,0.001872725,0.003066477,0,0.011905381,0,0.010480283,0,0.010909161,0.006814461,0,0.038375209,0.014527062,0.019329614,0,0,0,4.08E-05,0.000690667,0.001579779,0.016620499,0,0.001858736,0.039265386,0.002003149,0.003837718,0.011204482,0.001709402,0.006421937,0,0.026620877,0.007363368,0.011926511,0,0,3.91E-06,0.018561195,0.009719352,0,0.006105006,0.06024871,0.005912674,0,0.014401427,0.003333333,0.006160164,0.007687583,0.003289908,0.002915043,0.010019492,0.009967066,0.007601148,0,0,0,0,0,0.061840812,0,0.006010934,0,0,0,0.004283978,0.00922043,0.023575639,0.015318776,0.018573932,0.009493671,0.009817004,0.010042048,0.006621307,0.009759037,0.011830781,0,0.002749301,0,0,0,0.012082174,0.000602272,0.031213392,0,0.012210458,0.00136346,0.011142061,0.007725444,0.015883695,0.002409752,0,0,0.001372862,0,0.000145567,0.007418398,0,0.011956072,0.003316973,0.009403782,0.002962972,0.021960302,0.001661451,0.005836415,0.00259222,0.020103674,0,0.002648087,0.041602036,0.023637814,0,0,0,0,0.004997009,0,0,0.007852937,0.016315032,0.008134704,0.00188734,0.001730104,0,0,0.008848114,0.010957792,0.004259203,0,0.008928571,0.001182432,0.001236442,0.013907768,0.00248139,0.018649683,0.007652175,0,0,0,0.010029893,0.00319273,0.003292562,0.006666667,0.082020343,0,0,0.002276586,0.006286594,0.019455253,0.001654811,0.000637871,0.01186072,0.013435155,0.001287425,0.031518383,0,0,0,0.016699603,0.007603955,0.048267746,0.006071816,0.004512178,0.038019163,0.004972759,0.010075377,0.015791326,0.010423862,0.018018831,0.006432542,0.003903804,0,0.019992547,0.00370982,0.001881998,0.00102496,0.017656446,0.013121018,0,0.000325444,0,0,0.032998723,0.008544177,0,0.005612797,0.001929997,0.001612181,0,0,0.00591716,0.005868135,0,0.006854201,0,0.003467553,0,0.004793888,0.003680713,0,0,0,0,0.057664589,0.007434944,0,0.002347418,0.014329537,0.007411607,0.00180256,0.006342495,0,0.006560819,0,0,0,0.033486938,0.003348508,0.000320833,0.004776546,0.00047081,0.030580797,0.004324823,0.047057774,0
Betula,0.255379007,0.263659627,0.001613671,0.539363484,0,0,0.316622691,0.271229821,0.223662592,0,0.132147007,0.073368756,0.40625,0.367272727,0.499509323,0.305087782,0.02871023,0.02,0.149827277,0.188683785,0.004782401,0.006872852,0.114594611,0.062798142,0.236966825,0.00623053,0.102398673,0.247592848,0.076293609,0.268640559,0.013859934,0.025696271,0.135935822,0.021219563,0.029249196,0.109842868,0.302536223,0.218880057,0.455873961,0.000662843,0.141909548,0.042711965,0.161440395,0.144919845,0.361111111,0.297297297,0,0.072385892,0.047393365,0.515235457,0.046838407,0.399628253,0.07497556,0.050664421,0.372996664,0.406162465,0.087179487,0.124290137,0.255158702,0.153627959,0.030263176,0.015989352,0.443587331,0,0.441133592,0.275795917,0.145365254,0.201657926,0.091257631,0.086770422,0.056654994,0.050688238,0.003516103,0.387681159,0.396303901,0.158887966,0.329793295,0.088459356,0.129527535,0.1974189,0.108353219,0.228107171,0,0,0,0,0.049173122,5.30E-05,0.061228531,0.506887052,0.156972051,0.144670833,0.246410238,0.184596774,0.10805501,0.151900565,0.102721411,0.038399197,0.089615297,0.078839518,0.040692338,0.334108797,0.003655299,0.056737952,0.055492149,0.365491071,0.240204429,0.117318436,0.297311277,0,0.112509737,0.086309317,0.016423258,0.002492805,0.43454039,0.249833675,0.235573099,0.220540721,0.220830717,0.195672118,0.1631886,0.080736544,0.447450598,0.265578635,0.202198756,0.445563933,0.052868891,0.236572759,0.018465782,0.125655192,0.195408105,0.188951405,0.037388753,0.281704981,0.119197784,0.039926985,0.051137748,0.087935899,0,0.280522871,0.7327584,0.322080137,0.388562896,0.08102069,0.093289312,0.26738637,0.344991752,0.298665721,0.272829151,0.008650519,0.08350146,0.154803944,0.013515244,0.353885698,0.209038604,0.004535147,0,0.190948171,0.137151514,0.353341948,0.034582404,0.268231048,0.324951924,0,0,0.294117696,0.095775645,0.248286402,0.292191964,0.02,0.056458583,0.149971483,0.20344207,0.037758629,0.054324411,0.093385214,0.29240729,0.122523015,0.320630363,0.180276735,0.337268621,0.061387875,0.003322259,0.108667923,0.070847458,0.164007757,0.006978153,0.169459514,0.085197822,0.18862494,0.027606659,0.288561741,0.216909548,0.164962137,0.0088854,0.065526965,0.005818445,0.222945026,0.253125,0.195837452,0.070979514,0.00957623,0.061847405,0.087243574,0.244967338,0.116145676,0.268523089,0.162621359,0.020675679,0.244422733,0.049032377,0.108200516,0.10983463,0.077683861,0,0.071578076,0.427083333,0.171597633,0.230504852,0.178455604,0.322136282,0.01614325,0.082180114,0.46344731,0.069897162,0.055879011,0.017241379,0.002691388,0,0,0.133119189,0.513011152,0.043032049,0.126760563,0.181420712,0.109696595,0.070398537,0.443009161,0.504337691,0.153014634,0,0.014147603,0,0.161836949,0.049848859,0.278927857,0.345230172,0.007098363,0.012903966,0.337300136,0.14872163,0.262458472
Bursera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01118068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002267574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862069,0.008074163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Celtis,0,0,0,0,0.006857535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002134563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004956629,0,0,0,0,0,0.002065404,0,0,0,0,0,0,0,0,0.00132626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005285285,0,0,0,0.002785515,0,0,0,0,0,0,0,0,0,0,0,0.005751801,0,0,0.003230283,0,0,0,0,0,0,0,0,0.001604278,0,0,0,0,0,0,0,0,0,0,0.003460208,0,0,0,0,0,0.039215686,0,0,0.002487729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000952744,0,0,0,0,0,0,0.00902607,0,0,0,0.002915952,0,0,0,0.004615385,0,0,0.001272049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000404313,0,0,0,0,0,0,0.00140056,0,0,0,0,0,0,0.008074163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002607562,0,0,0,0,0,0,0.000266698,0,0
Trema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002844501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diervilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001703578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lonicera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000437063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symphoricarpos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007671211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000651254,0,0,0,0,0,0,0,0,0,0,0,0,0.005981009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000182304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clethra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022116904,0,0,0,0,0,0,0,0.001709402,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001966246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039910465,0,0,0,0,0,0,0,0,0,0,0,0.017434717,0,0,0,0.012877992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001666279,0,0,0.003142935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004694836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cornus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000766619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002528845,4.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001397136,0,0,0,0,0,0,0,0,0.001272265,0.003157895,0,0,0,0,0,0,0,0,0,0,0,0.000792236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003113258,0,0.002642643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001504691,0,0,0,0,0,0,0,0,0,0.000874126,0,0,0,0,0,0,0.001470909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000313764,0,0,0,0,0,0,0,0,0.001121795,0,0,0,0,0,0,0,0,0,0,0.000952744,0,0,0,0,0,0,0,0,0.000439422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002242744,0,0,0,0,0,0,0,0,0,0.004733763,0,0.000280374,0,0,0,0,0,0,0,0,0,0,0.007571704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyssa,0,0,0.002532465,0,0.048929625,0.052681361,0,0,0.002077485,0.023560209,0,0,0,0,0,0,0,0.025714286,0.000551412,0.094041258,0.001661884,0,0,0,0,0.009345794,0.00028165,0,0,0,0,0.008927713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10358516,0,0.006319115,0,0,0,0.001927854,0.002895281,0,0,0.006837607,0,0,0,0,0,0,0,0,0,0.001032702,0,0,0,0.002266757,0.006653058,0.000224677,0,0,0.00132626,0,0,0.000928505,0,0,0,0,0,0,0,0,0,0.098601955,0,0,0,0,0,0,0,0,0.001582278,0,0,0.083612823,0,0.008752073,0,0.006873251,0,0,0,0,0,0,0,0,0,0,0,0.002656042,0,0,0,0,0,0,0,0,0,0,0.010416667,0,0,0,0,0.014515487,0,0,0,0,0,0,0,0,0,0,0,0.00579699,0,0,0,0,0.003460208,0.002047075,5.26E-05,0,0,0,0,0,0,0,0,0.005763734,0,0,0,0,0,0,0,0.001555948,0,0,0.002122016,0,0.015797749,7.78E-05,0,0,0,0,0,0,0,0,0,0,0,0.002256517,0,0,0,0,0,0,0,0.044144427,0,0.0015608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006011173,0.00080609,0,0,0,0,0,0,0,0,0,0.01121947,0.000977683,0,0,0,0,0,0,0,0.011737089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002162412,0,0
Juniperus.Thuja,0,0,0,0.006700168,0,0,0.007915567,0,0,0,0,0,0,0,0.014720314,0,0.004069539,0,0,0,0,0,0.002453988,0.006359413,0.002369668,0,0.001549078,0.002689178,0.011232787,0,0,0,0.006931547,0,0,0,0,0,0.049378081,0.006265955,0,0,0.062064801,0,0,0,0,0,0,0,0.00234192,0.005576208,0.003010808,0,0,0,0,0,0,0,0.004813478,0,0.003234194,0,0.003679273,0,0,0,0,0,0,0,0.003403764,0,0.164271047,0,0,0,0,0,0,0.001428792,0,0,0,0,0.006538393,0.003319119,0,0,0,0.002991061,0,0,0.000982318,0.004132604,0,0,0,0,0,0.004158928,0,0,0,0,0.003407155,0.013035382,0,0.088611263,0.002642643,0.005986463,0,0.015551062,0,0,0,0,0,0,0,0,0,0.005934718,0.001949698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010198206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00540275,0,0,0,0,0.006769552,0,0,0,0.006457556,0,0,0,0,0.000142017,0,0,0.0015625,0,0,0,0,0,0,0,0,0.026699029,0,0.004275862,0,0,0,0,0,0,0,0,0,0,0.025719041,0,0.013450025,0,0,0,0,0,0,0,0.003423355,0,0.006514853,0,0,0,0.069497258,0,0,0,0,0,0,0,0.002106086,0,0,0,0,0.010812059,0,0.003322259
Taxodium,0,0,0,0,0.411175412,0.412737668,0,0,0,0.028795812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842761836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127535322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009190276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
